geo_join_id,geo_place_name,geo_type_name,start_date,time_period,pollutant_name,measure_info,data_value,year_from_period,BORO_NM_IMPUTED,AQI_composite
310,Bay Ridge and Dyker Heights (CD10),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,58.440812,2005,,
310,Bay Ridge and Dyker Heights (CD10),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,54.575696,2005,,
310,Bay Ridge and Dyker Heights (CD10),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.393163,2005,,
404,Bayside - Little Neck,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,60.492651,2005,,
404,Bayside - Little Neck,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,1.9,2005,,
404,Bayside - Little Neck,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,57.095763,2005,,
404,Bayside - Little Neck,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,2.5,2005,,
404,Bayside - Little Neck,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.162549,2005,,
411,Bayside and Little Neck (CD11),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,58.667583,2005,,
411,Bayside and Little Neck (CD11),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,55.327714,2005,,
411,Bayside and Little Neck (CD11),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.08126,2005,,
303,Bedford Stuyvesant (CD3),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,69.411901,2005,,
303,Bedford Stuyvesant (CD3),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.495008,2005,,
303,Bedford Stuyvesant (CD3),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,66.386591,2005,,
203,Bedford Stuyvesant - Crown Heights,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.148227,2005,,
203,Bedford Stuyvesant - Crown Heights,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,3.0,2005,,
203,Bedford Stuyvesant - Crown Heights,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,94.985402,2005,,
203,Bedford Stuyvesant - Crown Heights,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.5,2005,,
203,Bedford Stuyvesant - Crown Heights,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,91.468488,2005,,
206,Belmont and East Tremont (CD6),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,70.224126,2005,,
206,Belmont and East Tremont (CD6),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,64.515174,2005,,
206,Belmont and East Tremont (CD6),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,4.663124,2005,,
311,Bensonhurst (CD11),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.999641,2005,,
311,Bensonhurst (CD11),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,40.670475,2005,,
311,Bensonhurst (CD11),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,38.410608,2005,,
209,Bensonhurst - Bay Ridge,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,2.7,2005,,
209,Bensonhurst - Bay Ridge,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,47.351051,2005,,
209,Bensonhurst - Bay Ridge,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,44.76881,2005,,
209,Bensonhurst - Bay Ridge,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.164276,2005,,
209,Bensonhurst - Bay Ridge,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.8,2005,,
206,Borough Park,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,2.9,2005,,
206,Borough Park,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,54.87405,2005,,
206,Borough Park,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.5,2005,,
206,Borough Park,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.673126,2005,,
206,Borough Park,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,57.839769,2005,,
312,Borough Park (CD12),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,57.386664,2005,,
312,Borough Park (CD12),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,55.178,2005,,
312,Borough Park (CD12),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.912609,2005,,
1,Bronx,Borough,2005-01-01,2005,Annual vehicle miles traveled,per square mile,48.938718,2005,BRONX,
1,Bronx,Borough,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.8,2005,BRONX,
1,Bronx,Borough,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,45.033245,2005,BRONX,
1,Bronx,Borough,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.472806,2005,BRONX,
1,Bronx,Borough,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,3.3,2005,BRONX,
2,Brooklyn,Borough,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,52.777419,2005,BROOKLYN,
2,Brooklyn,Borough,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.8,2005,BROOKLYN,
2,Brooklyn,Borough,2005-01-01,2005,Annual vehicle miles traveled,per square mile,55.904141,2005,BROOKLYN,
2,Brooklyn,Borough,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,3.0,2005,BROOKLYN,
2,Brooklyn,Borough,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.795932,2005,BROOKLYN,
316,Brownsville (CD16),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,87.351443,2005,,
316,Brownsville (CD16),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,3.756267,2005,,
316,Brownsville (CD16),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,83.330915,2005,,
304,Bushwick (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,35.269871,2005,,
304,Bushwick (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,36.689191,2005,,
304,Bushwick (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.212591,2005,,
208,Canarsie - Flatlands,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.194705,2005,,
208,Canarsie - Flatlands,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,2.4,2005,,
208,Canarsie - Flatlands,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,2.8,2005,,
208,Canarsie - Flatlands,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,34.264173,2005,,
208,Canarsie - Flatlands,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,35.691447,2005,,
110,Central Harlem (CD10),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,64.519219,2005,,
110,Central Harlem (CD10),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.139116,2005,,
110,Central Harlem (CD10),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,61.482829,2005,,
302,Central Harlem - Morningside Heights,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,4.2,2005,,
302,Central Harlem - Morningside Heights,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,77.189227,2005,,
302,Central Harlem - Morningside Heights,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,3.9,2005,,
302,Central Harlem - Morningside Heights,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,73.691643,2005,,
302,Central Harlem - Morningside Heights,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,2.567942,2005,,
306,Chelsea - Clinton,UHF42,2005-01-01,2005,Outdoor Air Toxics - Formaldehyde,Âµg/m3,4.6,2005,,
306,Chelsea - Clinton,UHF42,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,9.111963,2005,,
306,Chelsea - Clinton,UHF42,2005-01-01,2005,Annual vehicle miles traveled,per square mile,126.021127,2005,,
306,Chelsea - Clinton,UHF42,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,114.913799,2005,,
306,Chelsea - Clinton,UHF42,2005-01-01,2005,Outdoor Air Toxics - Benzene,Âµg/m3,4.9,2005,,
104,Clinton and Chelsea (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,7.833747,2005,,
104,Clinton and Chelsea (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,120.674007,2005,,
104,Clinton and Chelsea (CD4),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,111.035266,2005,,
313,Coney Island (CD13),CD,2005-01-01,2005,Annual vehicle miles traveled (trucks),per square mile,1.0586,2005,,
313,Coney Island (CD13),CD,2005-01-01,2005,Annual vehicle miles traveled (cars),per square mile,30.491451,2005,,
313,Coney Island (CD13),CD,2005-01-01,2005,Annual vehicle miles traveled,per square mile,31.85136,2005,,
