customer_id,age,gender,marital_status,education_level,region,employment_status,owns_home,has_auto_loan,annual_income,credit_score,credit_limit,tenure,card_type,num_transactions,avg_transaction_value,online_shopping_freq,reward_points_balance,travel_frequency,utility_payment_count,num_children,num_credit_cards,monthly_spend
75570383,77,female,married,high school,northeast,unemployed,1,0,56000.11689315095,636.7676098009342,10530.389617033165,4,standard,14,46.14496680750075,8.0,6325.578927553558,3,3.0,1,8,1682.86
77915507,52,male,married,high school,south,unemployed,1,1,39432.58931129383,739.7268690568263,8509.06135956063,18,gold,13,88.53221900017448,7.0,5586.81417546587,1,1.0,2,8,2135.57
31958910,48,female,married,bachelors,west,unemployed,1,1,51020.949672954506,650.9959025251337,12462.7433335084,16,standard,9,78.30444508868528,4.0,6250.225114721198,3,2.0,0,8,1540.61
76868487,67,female,married,high school,northeast,unemployed,1,0,76794.56639898411,612.7793952064417,17750.95357661386,2,standard,10,54.93266704051778,7.0,8875.409102743402,3,3.0,2,8,1250.86
69435006,21,female,single,bachelors,west,self-employed,1,1,44386.44463073229,714.429605533167,9861.65156128317,6,standard,8,18.866711947679924,6.0,5318.021523137391,4,3.0,0,8,915.36
77839435,26,female,single,bachelors,west,student,1,1,73557.22526857266,715.6058894709494,19114.15858094776,14,gold,11,23.46581807445792,8.0,8453.488269722135,4,6.0,0,8,1493.46
48477656,69,male,married,bachelors,west,student,1,0,26699.083044305127,707.0786903092102,7460.33419781488,8,standard,7,20.94800924419902,1.0,4258.045613233473,3,2.0,0,8,946.32
35650259,74,male,married,bachelors,south,student,1,1,34973.71089472696,807.0466365584605,11837.644502862646,14,gold,10,40.192317194998935,5.0,4280.060029017102,1,2.0,0,8,1725.29
52835676,61,male,married,bachelors,south,self-employed,0,1,112441.39875375033,710.269163337575,24967.13914545873,1,gold,18,72.42964886361736,13.0,12222.87310633069,8,3.0,0,8,2141.34
94747661,46,male,married,bachelors,west,unemployed,1,0,29318.85487001235,647.8441186541546,6292.536332992772,19,standard,4,24.565145024543654,,3859.1325491585303,3,2.0,1,8,1318.62
86721650,56,male,married,bachelors,west,self-employed,0,0,114196.32969793846,712.3555696235486,23076.83530433744,8,gold,15,67.15160234470954,20.0,12711.804309896168,4,5.0,1,8,2302.71
13990016,22,male,single,bachelors,west,employed,0,1,32001.33501303579,664.9120289338875,6620.9586947801445,19,standard,9,17.984353095801048,9.0,4007.504593873094,4,4.0,0,8,1330.88
52181606,61,male,married,bachelors,west,student,1,0,85159.33646831448,687.6142158808641,17087.55804409314,15,standard,13,33.038259898757424,11.0,9530.03000569062,4,4.0,2,8,2021.27
55031862,52,male,married,graduate,midwest,self-employed,1,0,47082.69792163861,698.5472060061611,11395.865218104194,7,standard,6,36.52799436792863,6.0,6014.266521075238,1,6.0,1,8,1428.26
63458545,80,male,married,high school,south,unemployed,1,0,17891.164684928135,679.7806388051071,4741.746425832056,7,standard,7,29.126709262641267,4.0,2521.796104725694,0,1.0,1,8,745.71
70077133,37,female,single,bachelors,south,employed,1,0,31324.24987190084,617.675264394871,6205.235786248906,10,standard,6,24.99378393386212,5.0,4327.345778561497,2,0.0,0,8,1085.81
94797989,31,female,married,graduate,west,employed,1,1,85852.06750444566,747.3238581441115,23420.43595068122,9,gold,10,52.4219089713325,,9539.093870343988,3,5.0,3,8,2713.78
11861113,25,female,single,bachelors,south,self-employed,1,1,79537.8714149507,682.0975240541018,16936.22947751156,9,standard,9,71.61554693656393,8.0,8578.847832068519,5,2.0,1,8,1792.25
71300790,53,female,married,graduate,midwest,student,0,1,170797.2965557309,731.1278611796807,43661.62377442812,17,platinum,33,66.48600095618569,9.0,18100.62507465192,5,7.0,1,8,3632.37
56912274,40,male,single,bachelors,midwest,employed,0,1,87805.29110723584,719.3344612739118,22251.82933811853,3,gold,6,49.02641214876365,4.0,9901.508421437286,1,5.0,0,8,1194.01
69361118,63,male,married,bachelors,south,employed,0,0,44843.67959247615,646.3875413837155,7277.528720138149,17,standard,9,109.22016416315036,5.0,5856.795960044443,2,3.0,0,8,1150.04
58527003,23,male,single,bachelors,west,self-employed,0,0,23806.996192168303,701.1694404899872,5015.685838979178,19,standard,5,34.00242277444776,7.0,3350.0774099369114,3,2.0,0,8,1575.43
78621389,62,male,married,bachelors,west,student,1,0,24872.53675124093,684.0338542421144,5521.391183869444,5,standard,4,35.49962135968555,,3618.09632103886,3,1.0,1,8,1169.84
95531820,37,male,married,bachelors,midwest,employed,1,0,173287.26548990683,672.0961020002868,33644.4284078932,2,gold,20,13.403575827650409,10.0,18511.40370610305,7,9.0,0,8,1699.02
64980163,59,female,married,bachelors,west,student,0,1,61190.3462368546,634.0686480105539,11801.202046425473,19,standard,9,28.631543225051235,16.0,6658.623032904981,4,5.0,0,8,1663.72
51770731,71,female,married,bachelors,west,self-employed,0,1,25278.53915765852,672.5273110501632,5194.187981703109,14,standard,10,31.061681437957795,5.0,3549.496133444001,2,4.0,0,8,1624.28
63600010,44,female,married,high school,northeast,self-employed,1,0,64943.22251490847,691.7322868397232,14302.852990892678,7,standard,8,61.359214426019015,5.0,7676.937662295892,4,3.0,4,8,2273.65
29680959,57,male,married,bachelors,south,self-employed,0,1,20885.359567375497,541.2810371413249,4351.2653514269705,12,standard,5,53.01677927952845,8.0,3150.955482582686,1,3.0,1,8,1801.92
77254126,25,male,single,high school,west,unemployed,1,0,114163.91381070428,594.5756615726223,20509.925403039106,7,standard,18,16.61220391491268,9.0,12681.712928813691,7,3.0,1,8,1107.24
64268951,52,female,married,bachelors,west,employed,1,1,125709.31535225286,703.869123158368,30147.90479632728,3,gold,16,26.446665089277047,10.0,13634.142480594335,3,9.0,1,8,2100.13
95460983,20,male,single,bachelors,west,employed,0,0,57907.23942781965,739.8437442155256,15258.561131974837,3,gold,11,30.603967660307998,9.0,6648.103622625082,0,3.0,0,8,1236.99
64345143,40,female,married,bachelors,midwest,student,1,0,10682.527364650836,733.1324675686916,2681.613086332187,0,standard,3,32.06477254097712,11.0,2071.385050110185,1,1.0,0,8,824.7
52560459,18,male,single,graduate,south,self-employed,1,1,107652.24606768422,678.8664743478463,24683.193722490025,8,gold,19,38.710634805290375,14.0,11590.527693896904,4,4.0,1,8,1781.15
67522325,55,female,married,bachelors,west,employed,1,0,32193.85951761053,825.1904025606117,6825.847325432648,1,platinum,14,20.560285340751847,8.0,4080.384706754064,3,3.0,2,8,2078.8
47501584,30,female,married,bachelors,south,student,0,1,38169.675586904006,713.0126025074337,8692.158650281357,7,standard,10,27.134660087537863,8.0,4674.54759255434,0,6.0,1,8,1367.05
87983467,29,male,single,bachelors,northeast,employed,1,1,28245.77682433209,721.1130099464945,7714.646899166452,8,standard,12,32.891232891609555,7.0,3868.869885428642,2,4.0,2,8,1581.96
87404131,33,male,married,bachelors,south,self-employed,1,1,46192.04369487726,764.1402886096917,10260.035778020863,9,gold,7,69.68944769053644,6.0,5941.52055869717,1,3.0,1,8,1778.2
75471595,36,male,married,high school,northeast,employed,1,1,130773.70782227573,614.672908111363,25121.40099731161,5,standard,19,28.28720486207743,12.0,14065.289435622868,3,10.0,0,8,1605.08
42131372,74,female,married,high school,northeast,self-employed,0,1,188447.92777567013,795.0033576200425,56109.989845247335,8,platinum,12,37.74804043660446,12.0,19583.85136067348,10,6.0,1,8,2945.27
37786340,52,male,married,bachelors,west,self-employed,1,1,86112.31750518394,775.5559002902934,20101.86594807004,0,platinum,14,18.704510354427097,8.0,10112.557790495746,5,2.0,0,8,2236.0
26532649,47,male,married,bachelors,south,student,0,1,50814.99422575757,833.7010555328004,13316.5230458815,17,platinum,8,26.07802856176821,13.0,6138.070323709981,2,4.0,1,8,2102.5
16428210,70,male,married,bachelors,south,unemployed,0,0,54501.44837620685,625.4521476005815,10383.928148491968,12,standard,17,100.87174606976568,13.0,6370.441273629658,4,2.0,1,8,2193.1
34168928,45,female,married,high school,northeast,employed,0,0,38554.97073362132,753.1208265257386,10501.497536935727,19,gold,13,32.06544938188269,6.0,4489.667061357989,0,2.0,2,8,1665.53
78990863,78,female,married,high school,west,student,0,1,75170.7382950447,681.8236577128965,16879.66742091756,12,standard,10,33.92845715233121,6.0,8590.685627637025,5,6.0,1,8,1940.6
78006645,22,male,single,,northeast,employed,1,0,13965.930624341756,655.0023686038289,3721.822870715157,8,standard,10,27.157987391250398,2.0,2174.9991974924187,3,1.0,0,8,1416.29
12605714,18,female,single,graduate,south,student,1,1,67449.46895393157,781.5364497609796,20219.74180722672,19,platinum,9,39.01644533670211,6.0,7595.172167848659,2,2.0,0,8,2111.3
51442746,32,female,single,bachelors,south,student,0,0,40806.24774418599,831.2316004432273,13069.548357175612,14,platinum,10,47.18793844061391,4.0,4452.996771600805,0,2.0,0,8,1379.18
48588939,19,male,single,bachelors,northeast,self-employed,0,0,55971.20277496234,728.8187459118891,13818.965243213994,9,gold,9,79.78615977244763,6.0,6326.633263113647,2,3.0,0,8,1671.63
46824260,76,female,married,bachelors,west,employed,1,0,19277.705398840397,732.4209221092946,5136.87161173688,4,standard,6,28.87255511429491,7.0,2363.730011275647,1,1.0,1,8,1310.95
48441046,56,female,married,bachelors,midwest,self-employed,1,0,76363.02658949778,666.7793004014693,17346.697097218286,5,standard,13,50.58459658576484,10.0,8963.43731625549,1,3.0,1,8,1755.18
96319123,80,female,married,,west,employed,0,0,38416.51009118264,781.3202765292419,8533.981770247261,2,gold,4,18.5898267121556,7.0,4476.674369353251,6,1.0,2,8,2114.75
53707476,79,female,married,bachelors,south,employed,1,0,144992.99608692236,740.6623835167795,28761.796231331016,19,platinum,17,33.42151165038362,8.0,15804.475554276003,6,7.0,2,8,2997.98
61720637,21,male,single,high school,south,employed,1,0,55991.11264983964,721.6091281278956,13643.577842249468,10,gold,11,18.077885202924097,6.0,6879.26124020763,3,4.0,0,8,1738.02
83555331,58,female,married,bachelors,west,self-employed,1,1,55280.55688640063,649.4358037104121,10717.328573019671,10,standard,8,35.04775289716904,5.0,6263.801734488552,4,4.0,1,8,2024.53
89361748,26,female,married,high school,south,self-employed,0,1,34349.717071165214,727.3549688168384,8496.52779574694,7,standard,8,37.68215831243228,1.0,4528.253233233218,1,1.0,2,8,1509.19
77759109,77,female,married,high school,midwest,unemployed,0,1,53220.0149066716,608.1864577330742,9183.97986871704,2,standard,4,21.33207417416796,5.0,6351.316531957835,3,2.0,2,8,1327.58
44371592,67,male,married,high school,south,employed,1,0,37100.78842552873,656.6321955892802,9246.7376911786,1,standard,7,18.73536270702876,3.0,4685.469629757036,5,3.0,2,8,1048.57
26610817,27,male,married,bachelors,west,student,0,1,14813.214796418804,631.9552842721079,3110.761227912814,17,standard,6,33.36147958058977,,2678.89970503298,0,2.0,1,8,980.35
13069781,30,male,single,bachelors,northeast,employed,1,1,85875.75256282889,743.933512632549,22971.720121286635,8,gold,14,25.354336359229443,6.0,9869.53401355021,3,6.0,0,8,1580.52
74898724,66,female,married,bachelors,midwest,self-employed,1,0,42140.2745919141,756.6909501822195,11303.249777573115,2,gold,6,36.3814341355253,3.0,5049.081040454543,0,1.0,1,8,1504.09
97917718,46,male,married,graduate,west,self-employed,0,1,23002.20287828184,643.2699434769752,5420.5878376702185,7,standard,7,38.72088809389192,6.0,3127.7185968472504,2,1.0,1,8,882.1
94674668,52,female,married,bachelors,south,student,0,1,46208.31365527945,674.5224147741983,10864.24767021806,16,standard,5,86.9118256195214,8.0,5582.167140678717,1,3.0,0,8,1224.99
98344221,45,female,married,bachelors,west,student,0,1,43673.79030804102,659.5283051980497,11180.25801089717,15,standard,13,82.72714841259771,6.0,5516.046811158794,2,1.0,0,8,1953.83
95493941,38,male,married,bachelors,west,employed,1,1,47018.20457240233,700.3081444711306,11055.631223462333,0,standard,7,75.43059528200645,6.0,5811.722670203824,2,6.0,3,8,2109.44
20408310,53,female,married,bachelors,northeast,self-employed,1,0,32239.702648093244,753.5700982997588,8590.36657466276,16,gold,9,18.360642977340937,7.0,4148.508274855726,1,3.0,0,8,1820.25
35204750,64,female,married,graduate,south,student,0,0,48387.910440826265,696.1933993357803,10958.039751531876,7,standard,9,29.92838318612544,6.0,5761.639651775911,1,2.0,0,8,1205.79
32991669,62,female,married,high school,south,unemployed,0,0,32541.350192223323,758.5231551220121,6672.98775804315,12,gold,6,36.74555714160977,6.0,4203.190206571552,1,3.0,0,8,791.02
15451514,64,female,married,bachelors,west,employed,1,1,25570.21118338553,714.30765981301,6788.714191366397,3,standard,4,47.985286501163934,10.0,3918.9759696749775,3,4.0,2,8,1676.1
99875046,73,female,married,bachelors,northeast,self-employed,1,1,86022.05136272767,769.2973444432438,19817.622731454023,0,platinum,16,25.21201658943397,8.0,8925.543255470795,5,8.0,0,8,1991.03
34442521,28,male,married,bachelors,northeast,unemployed,1,1,75659.29846925572,678.0654185624956,20999.71828156773,18,standard,15,27.610465828679303,6.0,8645.156767875827,5,1.0,3,8,1927.92
22536188,30,male,married,graduate,northeast,employed,0,0,15150.80253926617,721.9362857502554,3884.6347956249374,10,standard,6,105.95357604557832,10.0,2800.3849025685545,0,2.0,3,8,1768.2
16752709,62,male,married,bachelors,west,employed,1,0,31901.2699676875,666.8569155055513,7398.285623828113,13,standard,8,69.05158515035446,7.0,4096.77770057579,2,3.0,0,8,1194.71
41318787,69,male,married,high school,south,employed,0,0,23810.822218876558,743.1906564509366,5871.843594607271,13,standard,10,64.90687281663352,1.0,3332.410929934576,1,2.0,2,8,1550.57
17058618,49,male,married,bachelors,midwest,employed,1,0,20763.850992869684,724.6333788891001,4917.339244661343,18,standard,7,35.63945793308955,8.0,3443.437783821426,1,2.0,6,8,2236.14
30606165,32,female,single,high school,midwest,employed,1,0,37297.32540891435,777.0675910167828,8103.569623789624,8,gold,10,23.23202912989235,7.0,5101.396230178902,2,2.0,2,8,1643.52
90260929,73,female,married,bachelors,midwest,employed,0,0,12401.924742186764,656.9771181083954,2830.5847936455198,4,standard,7,28.315790434165045,1.0,2585.6360153371807,1,1.0,0,8,1057.95
40797781,69,male,married,bachelors,northeast,self-employed,1,0,41317.96904095979,733.3394438827801,8212.992027441864,18,gold,5,24.0998022840625,3.0,5005.364418294135,3,1.0,4,8,1782.92
66533040,57,female,married,graduate,west,student,0,0,39107.54241956691,651.5122355793308,8000.682127586413,17,standard,4,19.02085218252544,7.0,5407.0525382459255,3,3.0,1,8,1684.58
83798402,25,male,single,bachelors,midwest,self-employed,1,0,58976.43725700516,757.9675174444012,14957.889841517608,18,gold,7,12.1660295005194,2.0,6905.387682761005,1,5.0,2,8,1843.58
57786859,64,female,married,graduate,south,employed,1,1,173318.2230556863,713.7795283488111,46458.58402273848,19,platinum,16,38.32741982190833,13.0,18269.17971107717,8,3.0,5,8,3298.91
60845249,22,female,single,high school,northeast,employed,1,1,119998.6280302037,682.0911923192649,30953.76338841448,17,gold,11,95.50912030589416,7.0,13387.765516363384,5,4.0,0,8,1878.69
25516818,65,female,married,bachelors,midwest,unemployed,0,0,15268.799557871798,681.4566574214676,3593.604242036002,6,standard,2,15.14743781907019,4.0,2646.483930829261,3,0.0,1,8,987.35
28467373,74,male,married,high school,midwest,employed,0,0,33730.2349528996,818.6965388674032,7370.591355243874,0,platinum,6,20.56598708702072,,4556.108509430918,3,3.0,3,8,1760.55
60197659,33,male,single,bachelors,midwest,self-employed,0,0,90366.33493786328,687.2020312185501,18852.57648683399,4,gold,11,17.077199243140512,12.0,10306.782188975983,1,5.0,0,8,733.2
46128578,52,female,married,bachelors,midwest,unemployed,1,1,35859.60770242781,640.7785437710738,7903.240783688704,15,standard,8,47.70785652397289,4.0,4699.355983074554,9,1.0,2,8,1514.1
73079625,39,male,married,high school,south,unemployed,0,0,34476.11287053002,640.9811137289347,6190.718515543215,1,standard,13,15.616382184119452,5.0,4574.576620645612,1,2.0,1,8,803.52
65184780,28,female,single,bachelors,west,employed,0,0,51052.51161216598,738.1679759983451,14191.31415431945,19,gold,9,24.00944007782406,6.0,5729.045806208358,4,2.0,0,8,1639.2
63074353,64,female,married,bachelors,midwest,employed,0,1,34104.64930525225,717.764632843534,8494.646463433359,5,standard,7,34.01722356723212,13.0,4274.17483142692,0,4.0,0,8,833.17
36445132,75,female,married,bachelors,midwest,student,1,1,8795.243358606427,692.7476732684468,2014.875978295272,16,standard,6,23.920536735670204,7.0,2122.0924154189715,1,3.0,1,8,1507.76
32670859,70,female,married,high school,west,self-employed,1,1,86120.53585635855,711.4970175734816,22490.52788668373,18,gold,15,11.50866886632882,9.0,10208.926043295967,0,6.0,0,8,1902.23
33261871,50,male,married,high school,west,student,0,1,29153.545972268235,698.4180758216924,5677.446720980463,16,standard,7,25.832552062552494,6.0,4169.689227208649,2,0.0,1,8,1597.81
12832356,56,female,married,bachelors,northeast,employed,0,0,48792.83638777049,663.3632280517214,8834.262659658732,0,standard,7,42.3867824780708,10.0,6141.18666728209,1,8.0,0,8,1076.34
39048050,20,male,single,bachelors,northeast,student,1,1,32928.6034023608,693.0018420725464,7734.143357258892,16,standard,8,26.701632232982856,6.0,4045.1861813401074,1,1.0,0,8,1551.94
99269359,73,male,married,high school,northeast,unemployed,1,1,47303.43554950591,733.3903973801949,11251.893197727351,2,gold,7,35.73565058872334,5.0,5704.68219378246,1,4.0,1,8,1529.69
82922399,21,female,single,high school,south,self-employed,0,1,89898.28100132248,625.9420488016139,15631.700510045415,4,standard,23,32.06884369557385,9.0,10541.130452610263,4,2.0,0,8,1349.52
16983642,21,female,single,bachelors,south,self-employed,1,0,11763.118594697384,726.6433346517731,2843.2590576656467,16,standard,5,35.29914084288942,4.0,2169.764266869439,3,2.0,0,8,1272.9
64173363,61,female,married,bachelors,northeast,unemployed,1,0,66422.7526980688,630.8078571027085,13554.24576501713,2,standard,15,35.988528338986164,5.0,7140.334641597451,2,2.0,1,8,1453.46
16749387,28,male,single,graduate,west,self-employed,1,0,59188.17839517741,727.0938505248073,13032.82294709715,13,gold,7,17.80587476262039,12.0,7104.142735800435,4,4.0,0,8,952.97
22569697,48,male,married,bachelors,northeast,student,1,1,25684.456534327288,756.7464742641826,6475.118885893673,8,gold,5,16.852054596858743,9.0,3119.6500301276446,1,1.0,0,8,1398.22
61702023,61,female,married,bachelors,south,unemployed,0,1,59672.43603504665,704.3178972363404,12839.94730028359,13,standard,11,56.05924293318519,14.0,6959.329654864556,5,1.0,1,8,1560.97
76328458,78,male,married,bachelors,south,unemployed,1,0,26842.803603643264,638.5131085130162,6947.275639019171,12,standard,8,43.374861335326685,10.0,3511.283844148326,1,0.0,0,8,1418.31
56996264,26,male,single,graduate,south,employed,1,0,55975.70501990329,638.9073779720607,12016.874881557544,10,standard,8,31.44442971245574,13.0,6997.578574958595,6,1.0,2,8,1352.1
67560501,62,male,married,bachelors,northeast,unemployed,0,1,30317.53846410644,707.5615346937773,6834.2845202376775,4,standard,2,72.47592809323189,4.0,3406.606838327268,1,3.0,2,8,1292.78
46719783,57,male,married,,south,unemployed,1,0,30129.216396746782,657.2699220877687,6026.963444097538,9,standard,8,15.46069406587594,10.0,3883.2829695760174,4,3.0,2,8,1045.3
58941638,47,female,married,bachelors,northeast,self-employed,0,1,6914.480030914703,764.3633976541917,1654.8897523960898,3,standard,9,55.232864842609736,5.0,1330.3051881378706,1,1.0,2,7,1694.02
91121324,55,male,married,graduate,northeast,unemployed,1,1,57836.82245057458,759.754905826382,12931.177283301646,10,gold,9,27.16157224188676,8.0,6734.8345130054095,2,2.0,1,8,1709.02
64598861,46,male,married,bachelors,west,student,1,0,86199.26129904871,691.5809687368132,21450.846365553352,5,gold,15,41.06071951122327,3.0,10294.851176114413,3,2.0,1,8,1399.76
14128906,34,male,married,high school,west,self-employed,1,1,210723.25023781264,728.0368513941044,48342.03152290566,7,platinum,24,26.56529952056787,17.0,22209.06662332154,7,7.0,3,8,2615.57
45574662,38,male,married,high school,west,unemployed,1,1,47646.85835200732,750.5182011195337,11515.915860815016,18,gold,12,47.6051748274112,8.0,5656.41361078398,3,3.0,2,8,2014.94
65701641,18,female,single,bachelors,midwest,employed,0,0,43057.0585132674,644.6681017280395,10472.27774970099,4,standard,11,28.338793964931764,5.0,5377.951641969604,4,2.0,1,8,1362.71
