"click","age","gender","device","browser","time_on_site","pages_visited","ad_position","ad_type","is_weekend","user_logged_in","past_click_rate","ad_relevance_score"
0,50,2,2,1,211,1,3,4,1,1,0.069,7
0,57,1,1,3,251,4,2,3,0,1,0.043,6
1,68,1,1,2,222,2,2,1,0,1,0.073,9
0,30,2,2,1,206,2,1,1,0,1,0.147,4
0,60,2,1,2,183,6,2,3,0,1,0.183,5
0,31,2,1,4,131,2,3,3,0,1,0.186,5
0,23,2,1,3,169,5,2,1,0,0,0.145,1
0,36,2,2,2,196,8,1,4,0,1,0.129,4
0,64,2,2,1,184,2,1,2,0,1,0.093,3
0,63,3,1,2,132,1,2,3,0,1,0.153,3
0,69,2,2,1,79,5,3,3,0,0,0.176,8
0,63,1,2,1,108,3,1,3,0,1,0.109,5
0,44,1,1,1,229,2,3,1,0,1,0.189,9
0,41,2,3,2,132,2,1,2,1,0,0.087,6
1,18,1,2,1,225,4,1,4,1,1,0.093,6
0,67,1,2,2,143,3,3,4,0,0,0.189,5
0,62,1,3,1,187,3,1,4,0,1,0.176,10
0,43,1,1,3,152,3,2,1,1,1,0.106,9
0,63,2,1,2,148,4,2,1,1,0,0.119,8
0,53,2,2,1,308,2,1,2,1,1,0.024,7
1,44,1,1,3,247,3,3,2,1,1,0.189,9
1,36,2,2,1,189,3,2,3,1,0,0.145,4
1,60,2,1,2,140,6,3,1,0,0,0.186,10
0,50,1,2,4,183,8,1,1,0,1,0.046,7
1,67,2,1,1,132,1,1,1,0,1,0.079,10
1,35,1,2,3,92,3,3,2,0,1,0.048,5
1,36,2,2,1,217,3,3,3,0,1,0.104,7
1,55,1,1,1,130,3,3,1,0,0,0.011,7
1,41,3,2,1,156,4,1,1,0,0,0.01,6
1,36,2,1,1,188,6,3,2,0,1,0.139,3
0,36,1,3,1,43,6,3,4,1,0,0.107,2
0,44,2,2,1,158,5,1,4,1,1,0.137,5
1,27,1,1,2,190,2,1,3,0,1,0.175,6
0,65,2,2,4,158,3,3,4,1,0,0.116,8
1,22,1,1,4,214,3,2,4,1,1,0.117,7
0,34,1,2,3,135,4,2,1,1,0,0.029,9
0,23,2,2,1,27,9,1,2,1,0,0.028,6
0,64,2,2,3,99,1,3,3,0,1,0.053,1
0,40,2,1,3,213,5,1,2,1,1,0.177,4
0,31,1,1,5,295,7,1,1,0,1,0.015,3
1,60,1,1,4,143,4,3,4,0,1,0.054,9
1,43,2,2,1,182,3,1,3,0,0,0.068,8
1,35,2,1,4,70,2,2,4,1,0,0.171,9
0,69,1,2,1,201,3,1,4,0,1,0.084,6
0,21,1,1,1,31,2,3,1,0,1,0.143,9
0,25,2,1,1,183,4,2,1,0,1,0.031,4
