age,annual_income,employment_length,home_ownership,loan_amount,interest_rate,purpose,credit_score,default_1yr
51.0,55597.0,<1 year,Rent,7572.0,7.97,Home improvement,635.0,0
39.0,-,10+ years,Own,7458.0,14.27,Education,667.0,0
51.0,69558.0,3–5 years,Own,16220.0,14.88,Home improvement,663.0,0
33.0,87347.0,1–3 years,Own,19919.0,12.59,Home improvement,656.0,0
24.0,68641.0,3–5 years,Mortgage,18188.0,13.74,-,730.0,0
-,64532.0,10+ years,Mortgage,18585.0,10.86,Home improvement,673.0,0
33.0,58708.0,5–10 years,Mortgage,16165.0,16.3,Car,695.0,0
53.0,29032.0,3–5 years,Rent,12001.0,11.71,Debt consolidation,645.0,0
43.0,41279.0,10+ years,Own,9499.0,9.93,-,652.0,0
58.0,32757.0,1–3 years,Own,22306.0,15.72,Car,728.0,0
31.0,23946.0,5–10 years,Own,8673.0,8.91,Car,725.0,0
35.0,58489.0,-,Own,12920.0,11.75,Debt consolidation,669.0,0
54.0,56273.0,3–5 years,Rent,29980.0,13.48,Car,749.0,0
61.0,69218.0,3–5 years,Own,14476.0,13.32,Vacation,704.0,0
58.0,26050.0,5–10 years,Rent,9095.0,14.77,Debt consolidation,673.0,0
44.0,54985.0,-,Own,18622.0,9.11,Other,638.0,0
58.0,73692.0,-,Mortgage,15021.0,11.75,Debt consolidation,712.0,0
68.0,82478.0,<1 year,Rent,11075.0,16.61,Home improvement,736.0,0
41.0,27921.0,5–10 years,Own,11889.0,10.71,Education,729.0,0
37.0,36644.0,<1 year,Rent,13384.0,13.74,Debt consolidation,717.0,0
21.0,55902.0,-,Own,22170.0,16.99,Home improvement,658.0,0
74.0,47890.0,10+ years,Own,17121.0,13.32,Home improvement,749.0,0
24.0,36941.0,5–10 years,Own,19516.0,13.61,Vacation,649.0,0
57.0,48322.0,10+ years,Own,11139.0,9.15,Education,728.0,0
-,40735.0,1–3 years,Rent,11232.0,13.17,Car,618.0,0
38.0,67941.0,10+ years,Mortgage,12791.0,15.98,Debt consolidation,711.0,0
37.0,41426.0,1–3 years,Own,22875.0,11.61,Home improvement,-,0
32.0,96408.0,5–10 years,Rent,18464.0,16.05,Car,682.0,0
66.0,42481.0,10+ years,Rent,15108.0,14.86,Home improvement,695.0,0
-,70293.0,10+ years,Rent,9664.0,9.75,Debt consolidation,717.0,0
49.0,50471.0,3–5 years,Mortgage,9300.0,9.06,Debt consolidation,653.0,0
54.0,34024.0,1–3 years,Other,19085.0,13.0,Car,697.0,0
30.0,88617.0,10+ years,Rent,24894.0,10.52,Car,757.0,0
48.0,67982.0,3–5 years,Rent,2881.0,12.24,Debt consolidation,623.0,1
34.0,75290.0,3–5 years,Rent,17103.0,6.53,Education,707.0,0
72.0,48900.0,-,Mortgage,17712.0,11.83,Education,678.0,0
47.0,86248.0,3–5 years,Own,14749.0,6.89,Debt consolidation,704.0,0
62.0,38404.0,1–3 years,Rent,11614.0,13.52,Car,708.0,0
63.0,55845.0,3–5 years,Rent,16460.0,13.88,Home improvement,-,0
57.0,40279.0,10+ years,Mortgage,20784.0,7.8,Debt consolidation,718.0,0
63.0,19691.0,3–5 years,Mortgage,24656.0,17.13,-,765.0,0
63.0,42438.0,5–10 years,Own,7728.0,12.57,Home improvement,695.0,0
36.0,46355.0,5–10 years,Rent,15912.0,13.72,Vacation,-,0
74.0,38476.0,3–5 years,Rent,12002.0,10.11,Vacation,703.0,0
58.0,-,5–10 years,Mortgage,3381.0,17.11,Education,732.0,0
63.0,62368.0,10+ years,Own,10905.0,12.8,Education,717.0,0
49.0,-,<1 year,Rent,24137.0,11.49,Debt consolidation,692.0,1
52.0,57392.0,3–5 years,Mortgage,21029.0,11.49,Car,753.0,0
73.0,95368.0,-,Own,15307.0,15.02,Debt consolidation,783.0,0
52.0,42065.0,<1 year,Mortgage,14560.0,10.0,Other,742.0,0
30.0,72226.0,10+ years,-,5689.0,10.96,Vacation,749.0,0
26.0,45505.0,5–10 years,Rent,24512.0,10.33,Education,660.0,0
42.0,15000.0,-,Mortgage,19095.0,10.93,Home improvement,698.0,0
73.0,79046.0,<1 year,Own,13544.0,12.97,Debt consolidation,672.0,0
49.0,60433.0,<1 year,Rent,16917.0,12.11,Debt consolidation,646.0,0
38.0,94420.0,3–5 years,Rent,20836.0,15.43,Vacation,660.0,0
58.0,69565.0,10+ years,Own,6588.0,9.67,Home improvement,695.0,0
73.0,52118.0,10+ years,Rent,14211.0,14.03,Debt consolidation,761.0,0
28.0,42099.0,1–3 years,Other,11307.0,8.87,Education,713.0,0
59.0,62455.0,10+ years,Rent,19661.0,11.47,Debt consolidation,711.0,0
61.0,57467.0,3–5 years,Rent,15838.0,13.17,Vacation,603.0,0
66.0,37849.0,3–5 years,Mortgage,23836.0,9.06,Debt consolidation,763.0,0
45.0,56916.0,-,Own,15872.0,9.88,Debt consolidation,729.0,0
36.0,32632.0,3–5 years,Own,22114.0,11.81,Debt consolidation,695.0,0
71.0,60843.0,5–10 years,Own,22630.0,12.72,Car,677.0,0
29.0,61777.0,1–3 years,Mortgage,18077.0,5.65,Vacation,672.0,0
36.0,30856.0,3–5 years,Rent,13073.0,17.07,Other,617.0,0
46.0,23062.0,10+ years,Own,9598.0,10.96,Other,-,0
60.0,44153.0,1–3 years,Rent,10909.0,13.76,Education,713.0,0
42.0,53551.0,1–3 years,Own,18892.0,14.29,Other,746.0,0
