"territory_num","region","number_of_salespersons","sales"
1,"West",18,125630
2,"South",17,153956
3,"North",13,101151
4,"West",20,98390
5,"North",5,41042
6,"West",13,118840
7,"North",20,131286
8,"East",11,35988
9,"North",20,158189
10,"West",18,144999
11,"East",15,98744
12,"East",7,54040
13,"West",19,163457
14,"North",5,30463
15,"South",21,134147
16,"East",14,84762
17,"East",21,112857
18,"West",16,74789
19,"East",17,82363
20,"North",21,133416
21,"North",12,93229
22,"East",7,42133
23,"South",18,80579
24,"North",11,50435
25,"West",7,40506
26,"North",23,127786
27,"North",8,32221
28,"West",24,111155
29,"East",12,52279
30,"South",10,56822
31,"East",23,163778
32,"East",23,166706
33,"East",23,186373
34,"West",10,76765
35,"East",12,68955
36,"West",21,147885
37,"South",18,131964
38,"West",10,54586
39,"East",7,37490
40,"West",24,185656
41,"South",17,136298
42,"East",16,96958
43,"East",20,112320
44,"East",14,47420
45,"South",25,170137
46,"East",20,162914
47,"South",17,100832
48,"East",8,53180
49,"South",5,28134
50,"East",16,137504
51,"West",18,139372
52,"North",9,60727
53,"North",6,52441
54,"South",23,156414
55,"West",5,33650
56,"South",13,90197
57,"South",19,124970
58,"North",8,73726
59,"South",23,132797
60,"East",25,145135
61,"West",19,104405
62,"North",6,46635
63,"West",18,96377
64,"West",12,92445
65,"South",25,157829
66,"North",22,132050
67,"North",10,48992
68,"North",13,95732
69,"West",22,141057
70,"East",19,160757
71,"North",16,89284
72,"West",17,125681
73,"North",8,41931
74,"South",13,65127
75,"West",9,44055
76,"South",11,49786
77,"North",9,60225
78,"West",22,163292
79,"South",18,182478
80,"East",8,46220
81,"North",8,63470
82,"North",14,69772
83,"South",12,38075
84,"East",24,149008
85,"West",13,98046
86,"West",24,217461
87,"East",23,156907
88,"North",14,69788
89,"South",11,78248
90,"East",25,198350
91,"South",22,114355
92,"North",8,64057
93,"East",19,143967
94,"South",8,32166
95,"West",21,108821
96,"North",16,105538
97,"North",7,24699
98,"South",6,44528
99,"West",18,90045
100,"South",6,29114
