"reported_date_time","summary"
2021-12-14 04:30:00,"No Sighting, only sound"
2021-12-04 00:14:00,"Sighted an odd object in the sky, in the landing pattern of McCarran airport."
2021-11-16 07:50:00,"((NUFORC Note:  Witness provides no information.  PD))"
2021-11-02 02:00:00,"Glowing orbs changing color and staying in place over Brooklyn, NY"
2021-11-01 04:00:00,"About 9:00 pm Local time saw a bright Fluorescent orange object coming from the south west heading towards the Northeast. Made no noise"
2021-10-31 05:09:00,"Top left corner of video, towards the end you see it leap after a second one appears or maybe just how the craft travels."
2021-10-22 02:00:00,"Several pictures several videos live"
2021-10-18 20:30:00,"White/silver snake-like objec worming its way through the sky in Katy TX.  ((NUFOC Note:  Possibly a string of balloons?  PD))"
2021-10-16 04:15:00,"quick burst of the purest white light in the sky."
2021-10-15 08:05:00,"Bright red light hovering in sky"
2021-10-15 02:40:00,"Watched a blinking light change colors and move erratically"
2021-10-01 02:50:00,"Object traveling across the sky with two distinct long flames trailing the craft"
2021-09-16 00:06:00,"((NUFORC Note:  Witness provides no detailed information.  PD))"
2021-08-17 07:30:00,"Bright flash lit up the sky over the Portland area about 3 times"
2021-08-11 00:16:00,"https://youtu.be/MpbCgoJ0aAg this has full description"
2021-08-06 04:00:00,"White/blue bobbing lights with no form that stops to look at us then shoots away in a flash"
2021-08-02 22:42:00,"We witnessed an glowing orb, that lost altitude and Gained altitude very rapidly it also moved north and back south at will and looked"
2021-07-25 04:02:00,"Bright Light Southeastern MA"
2021-07-18 05:30:00,NA
2021-07-15 13:00:00,"I know this is not UFO related BUT I really, really got scared by hearing some woman's voice from somewhere saying something like It's"
2021-07-13 03:00:00,"Large beam/halo of light hovering in the sky"
2021-06-22 04:00:00,"Multiple streaks in same spot, followed by slower one"
2021-06-14 06:00:00,"My report is that I sited a UFO and they may be morphed into human body's thank you."
2021-05-28 01:00:00,"4 orange triangles with many white lights that followed."
2021-05-23 03:22:00,"Evenly spaced stars moving west to east across sky."
2021-05-16 04:30:00,"Dull yellow light spotted, 50ft above us"
2021-05-04 11:45:00,NA
2021-04-11 02:00:00,"The video is self explanitory."
2021-04-08 02:08:00,"Lighted train flies across night sky.  ((Starlink satellites??))"
2021-04-06 02:37:00,"A bright, high altitude light--NOT an airliner--moving at constant speed and brightness, then disappearing at same apparent speed."
2021-04-03 02:00:00,"Moving object vanishes as airplane approaches"
2021-04-03 01:00:00,"((NUFORC Note:  Witness provides no information about sighting; elects to remain totally anonymous.  PD))"
2021-03-10 00:48:00,"Bright brilliant white - looked like a comet. Fastest thing Ive ever seen in the sky.  ((////rocket launch??))"
2021-02-09 14:05:00,"((NUFORC Note:  Source of report provides no detailed information.  PD))"
2021-02-03 11:05:00,"((NUFORC Note:  Witness provides no information about the sigting.  PD))"
2021-01-08 02:30:00,"Bright flash causes black out"
2021-12-30 20:37:00,"I saw two different (or changing) objects about two minutes apart but in the same approximate location."
2021-12-28 15:15:00,"Close contact with a dark roundish triangular object"
2021-12-26 03:30:00,"Blues orbs moving very strange in the sky."
2021-12-21 05:00:00,"I have pictures . I stared at the moon for 8 hours . Never did that before pictures clearly show ufos"
2021-12-19 19:30:00,"Up to 8 counted spheres that spin, they glowed."
2021-12-17 02:45:00,"Stange lights"
2021-12-16 01:45:00,"Sighting began with 2 orange glows proceeded by small randomly pulsating white lights. Then the lights moved back and forth in the sky."
2021-12-15 01:30:00,"I saw a orb like light changing colors and moving back and forth"
2021-12-12 18:35:00,"Driving west on PA TP, crystal clear day, white object caught our eye high in sky, we googled weather balloon and it didn't resemble; s"
2021-12-12 02:40:00,"Was outside when I noticed two bright orange lights in the sky"
2021-12-09 10:30:00,"Both stationary for about 40 minutes or so"
2021-12-08 13:02:00,"Observed a bright light coming towards us, which turned and hovered and then took off at lightening speed"
2021-12-04 23:00:00,"I was filming the sunset"
2021-11-29 07:21:00,"This anomaly appeared to be a very large living creature that communicated with me and a person that was present"
2021-11-21 00:19:00,"Small craft with smoke trails and extraordinary maneuvers"
2021-11-20 07:30:00,"I saw this bright red light that began changing its figure, comming out of a invincible UFO."
2021-11-15 22:13:00,"Its a series of lights that would always go back to being a triangle."
2021-11-15 22:30:00,"A 'star' faded and changed into a cigar-shaped object."
2021-11-06 19:00:00,"I was outside waiting on my ride, when a white airplane type craft appeared every head about 20- 30 feet. It made no sound and cast no"
2021-10-30 02:00:00,"now this is not a joke for at about 10 o'clock on fri night I saw varied craft  in the sky on the ground nd on the greenway in Edison n"
2021-10-30,"We were riding down road. I looked to my right. There was bright orange balls of light. There was a big light and then more balls of li"
2021-10-23 23:00:00,"Glowing craft in the sky changed shape and elevation, defying the laws of physics"
2021-10-19 20:00:00,"Details can be seen for yourself. I recorded the incident as I was sitting on my porch. If you go to Facebook or YouTube... You can see"
2021-10-18 23:40:00,"Two orange lights in the sky to the south of Charlotte, NC"
2021-10-18 22:00:00,"Bright object in sky  on video zig zags, comes closer breaks into particles then back to circular shape."
2021-10-17 22:48:00,"Shape shifting black object with strange lights and reflections."
2021-10-10 03:00:00,"I thought they were jets but they made no sound"
2021-10-08 06:00:00,"Several objects seen moving with orbs, everynight in same area for 10 months.  Possible abductions."
2021-10-07 23:00:00,"I was filming the sunset"
2021-10-05 03:45:00,"Multiple UFOs captured on Camera over Aurora Colorado"
2021-10-03,"ufo gyroscope flying over freeway in ca"
2021-10-02 03:00:00,"I see a light that pings all over the sky in a certain area and have seen this more than once.  It goes too fast for it to be ours"
2021-09-30 23:18:00,"Today September 30th at 4:18 pm I witnessed a ufo leaving Griffin park from Whittier rosehill cemetery Heading East at a very high spee"
2021-09-20 23:13:00,"Ufo over nw okc!"
2021-09-19 02:15:00,"The three bright orange (not red like a plane - bright orange) lights in a triangle on the front of each caught my eye first. Three cra"
2021-09-16,"((NUFORC Note:  Witness provides no detailed information.  PD))"
2021-08-12 12:30:00,"I have a 2 second video and 38 pictures of objects and crafts flying, shapeshifting and cloaking in and out of a lightning cloud."
2021-08-06 17:48:00,"Two unidentified flying objects over Carlsbad on Friday, August 6, 2021"
2021-08-06 17:30:00,"We were playing tennis at the Omni La Costa resort. 8 women. It was very overcast. Foggy. All of a sudden a pulsating shape appeared ou"
2021-08-03 12:13:00,"Shape shifting ball in sky, Black ball with legs flew on neighbors roof fast and ran across roof, Shape shifting saucer or saucers"
2021-08-01 20:00:00,"Fire ball like object hovering changing shapes"
2021-07-17 07:00:00,"One section of the sky lit up over the sound between Vashon island and Normandy park, the bright light subsided a bit and an object app"
2021-07-12 07:53:00,"Please see my video on YouTube (I can send original too if needed).

The video is unedited. I don't monetize, but post for friends. I"
2021-07-06 03:38:00,"White rotating elongated object with ability to  shape shift."
2021-07-05 03:50:00,"Three witness White and red sphere that changed shapes near army base"
2021-07-05 04:00:00,"Object stood still also moved all directions turning to fuzzy ball then back."
2021-07-05 03:10:00,"3 bright sphere / orb objects over Phoenix Metro area"
2021-07-04 20:40:00,"Daughter was laying on floor by sliding glass door and started exclaiming about shiny birds. I ran over to see what she was talking abo"
2021-07-04 04:04:00,"I witnessed several lights along with a bright light flying in the sky."
2021-06-15 21:00:00,"This was the fourth UFO I've seen in my lifetime. the first one was maybe 20 years ago, the second one was maybe 8 years ago, the third"
2021-06-13 23:00:00,"UFO spotted by flight instructor and student pilot over San Diego. ATC confirmed no radar contact.  ((NUFORC Note:  Pilot report.  PD))"
2021-05-31 23:00:00,"Two high altitude objects interacting with each other. Hovering. And rotating while in a hover."
2021-05-29 19:45:00,"I saw a strange multi-colored daylight orb while I was driving. It looked like a silver orb and it was tumbling but then lights flicker"
2021-05-28 09:30:00,"The sighting was approximately 4 hours after the first sighting, I experienced earlier that evening, in New Mexico. I was on my way tow"
2021-05-16 04:05:00,"Slithering group of lights cross the sky"
2021-05-14 22:40:00,"Shape shifting object that shimmered and or produced white yellow lights in different spots."
2021-05-14 04:00:00,"Immense colorful shapeshifting Orb illuminating hovering in the sky."
2021-04-21 02:15:00,"I was driving home from Michigan and on the phone with a friend... As I was pulling into my driveway which heads east I noticed how bea"
2021-04-12 02:00:00,"Pulsating orb, miles in the sky remained still. Broke into multiple lights, then back into 1. Disappeared after 20 minutes."
2021-04-03 03:35:00,"green ship like object as well as what appeared to be triangle aircraftS"
2021-03-27 02:35:00,"Changing shapes, orange and gold colored"
2021-03-26 05:00:00,"Large hovering black object with lights appeared and then changed into several orange orbs.  No sound and slow moving."
2021-03-23 04:00:00,"UFO Second occurrence on Long Island NY in SAME/CLOSE TOWN HAPPENED SAME DATE roughly same time evening 1 month apart"
2021-03-20 00:15:00,"Seen and object 2 times, 1er time it look like a light and it will turn light on and off, 2 time 2 minutes later , my son in the car sa"
2021-03-16 20:30:00,"White/Silver Disc coming from the Atlantic stops in midair to change forms not once, not twice, not thrice, but FOUR TIMES!!"
2021-03-06 22:55:00,"Cigar/Circular object hovering in sky and moving strangely"
2021-03-04 15:45:00,"Husband saw what he thought was a hawk at first, thought then it was a helicopter size of school bus but then would rotate and change"
2021-02-28 21:52:00,"Large shape shifting geometrical craft, with one highly reflective side, maneuvered in sky above for 2 min in silence."
2021-02-23 03:00:00,"Objects seen with appearance of strange cloud."
2021-02-18 10:00:00,"A circular object, alternating between a disk and a shape shifting blob, paced the truck that I was driving."
2021-02-16 05:00:00,"Star-looking UFO disappears into distance at great speed"
2021-01-28 23:33:00,"Tetrahedron orb flashing colors, hovers, changes shapes and directions over my field nightly many pictures and videos"
2021-01-19 05:00:00,"Orange Glowing Half Oval Shaped UFO"
2021-01-19 01:07:00,"Strange lights flew in a slow hovering flight pattern."
2021-01-18 09:15:00,"Orange orb moving oddly low in the sky, two additional orbs appeared behind it forming an elongated triangle."
2021-01-09 06:30:00,"Started as what looked like a bright bulb then more of them.  One was green, changed shapes many many times; some of them are scary loo"
2021-01-07 00:08:00,"Slowly moving object in sky. Either rotating or changing shape. Reflectivity changed second to second."
2021-01-04 09:20:00,"Unknown pulsing object"
2021-01-04 06:15:00,"((NUFORC Note:  No significant information provided by witness.  PD))"
2021-11-19 09:15:00,"l"
2021-11-07 00:25:00,"V-Shaped transparent craft flying over Miramar- dimly lit amber lights."
2021-10-31 05:28:00,"Clear night no moon I was outside in my back yard looking for the northern lights. I was out there for about 15 minutes and looking to"
2021-10-15 02:38:00,"V Shaped Craft"
2021-10-10 00:45:00,"Large chevron shaped craft, no lights, no sound."
2021-09-25 12:00:00,"Lubbock lighting spotting over Naval Base Kitsap"
2021-09-12 02:05:00,"Chevron or Boomerang-shaped sighting over Florida Sep 11 2021"
2021-09-08 05:41:00,"Chevron shaped UFO San Marcos, CA"
2021-09-05 13:30:00,"2 objects flying very close to each other, I thought it looked really dangerous as I thought at first they were planes, 4 more appeared"
2021-07-22 03:28:00,"Saw a very bright flash going from South to North that lasted for seconds. Right before this, a plane was circling to land at Atlanta-H"
2021-07-13 06:00:00,"I saw a large 300 sq ft Chevron shaped object in the sky, very bright white in color, it took off at an extremely high rate of speed fr"
2021-06-14 01:00:00,"I was sitting on my back deck looking at my cell phone when I looked up and saw a beautiful v shaped craft straight over my head travel"
2021-06-01 01:39:00,"Three small flashing objects surrounding a larger object. Erratic movements by smaller objects. Large object was very brightly lit. Obj"
2021-04-23 08:40:00,"I witnessed a chevron-shaped object, silent and with seven lights cross my line of sight between 02:35am to 02:40am on Friday, April 23"
2021-04-11 04:40:00,"A soft white couple of opposing chevrons flew silently over."
2021-04-06 04:04:00,"My passenger and I were driving backroads in the country heading to Independence, and had noticed a light which was not moving. I notic"
2021-04-05 01:12:00,"Chevron shaped craft with mirrored exterior traveling from sw to new portion of sky 1000ft above ground. Completely silent."
2021-03-27 05:40:00,"UFO sighting on 3/27 01:40 and I have 2 pictures, one pic looks like a green chevron the other a blue egg/cyclinder shape"
2021-03-07 01:00:00,"Silent, large V shaped craft with circular lights on belly of wings faded like glow in the dark football brightness."
2021-02-19 08:17:00,"Chevron shaped object passing west to east over Hays Co. TX"
2021-02-18 02:00:00,"Three chevron shaped brightly lit objects (perfectly spaced apart)  flew just above tree level at 21:00 hrs."
2021-02-16 06:06:00,"On February 15 at 22:06 I observed a Chevron shaped object from my backyard on the west side of the Las Vegas valley moving approximate"
2021-12-25 23:30:00,"Dont know what it is"
2021-12-13 21:00:00,"Craft seen entering atmosphere"
2021-11-12 02:18:00,"Cigar shaped bright lite craft, dropping squrae pods multiple color."
2021-11-05 22:00:00,"At approximately eighteen hundred hours, I was outside with my dog when I sighted a cigar shaped object hovering in the sky over my nei"
2021-10-30 21:30:00,"I was in my car geting ready to help a friend change a tire while waiting in car I notice s white cigar shape object going across the s"
2021-10-26 13:30:00,"black cigar shape with bright yellow peripheral lights"
2021-10-23 04:00:00,"Cigar shaped object colored purple to pink to orange caught on blink camera"
2021-10-20 11:24:00,"Cigar shaped craft with three lights blinking in a pattern hovering over new providence and Doris road in Milton GA."
2021-10-16 16:30:00,"Cigar object that caught my attention"
2021-10-14 18:00:00,"Unknown object from a distance changed direction abruptly"
2021-10-05 23:11:00,"The way it was shaped and moving."
2021-09-26 21:27:00,"Cigar shaped object flies across sky in very odd way, before stopping and orienting it's leading end up and accelerating out of sight."
2021-09-12 23:00:00,"White fast moving tic Tac like object flying over Dallas , completely silent"
2021-09-05 18:29:00,"UFO's above Decker Canyon"
2021-09-02 12:35:00,"Ufo monitoring power grid and electricity."
2021-08-23 01:42:00,"It looked like a window and door less propane tank in the sky"
2021-08-21 03:50:00,"Green object hovers then rapidly changes elevation and direction."
2021-08-18 23:30:00,"4 white, silent torpedoes slowly moving eastward near Deep Run High School"
2021-08-15 13:40:00,"Bright orb ufo next I pick up a huge cigar ufo no lights no sound the more I think about this craft the more it freaks me out."
2021-07-30 20:00:00,"It looked like a long sliver cigar shaped cylinder flying through the air slow with the sun shining off of it, I'm still confused.."
