bedrooms,bathrooms,area,lot_size,floors,age,garage,fireplace,renovated,neighborhood,distance_city,price,price_hilo
3,3.0,1875,1763.0,1,42,1,0,0,0,14.34,539265.0,0
5,5.0,3536,5195.0,2,85,1,0,0,1,3.62,1059482.0,1
4,5.0,3571,5232.0,2,52,1,0,1,1,3.95,1046593.0,1
2,2.0,1993,6566.0,2,84,1,1,1,1,8.28,639924.0,0
3,3.0,2000,3219.0,1,46,1,0,0,0,12.72,562927.0,0
2,3.0,2201,4785.0,1,39,0,1,0,0,10.06,679134.0,0
4,5.0,2488,2665.0,1,77,0,1,0,1,3.8,803138.0,1
3,4.0,2996,3770.0,1,76,1,0,0,0,23.0,782421.0,0
3,4.0,2464,4753.0,2,23,1,0,1,1,5.16,739900.0,0
3,4.0,2363,3063.0,1,30,1,0,0,0,31.65,536984.0,0
3,3.0,978,11099.0,2,85,0,0,0,1,9.4,499367.0,0
4,4.0,4033,9737.0,1,66,1,0,0,1,2.74,1120770.0,1
5,5.0,3871,2557.0,3,68,1,1,0,1,5.51,1036223.0,1
5,5.0,3538,6861.0,3,18,0,0,1,1,12.04,1013112.0,1
3,4.0,2759,4784.0,1,124,1,0,0,1,7.26,806233.0,1
2,2.0,1433,2352.0,1,58,1,0,0,0,19.26,408070.0,0
5,5.0,3714,2669.0,2,8,1,0,1,1,8.32,1102557.0,1
2,2.0,1258,1853.0,1,77,0,0,0,0,18.47,333999.0,0
3,3.0,2282,7314.0,2,42,1,1,0,1,4.99,690795.0,0
4,4.5,3753,3381.0,2,31,1,0,0,0,11.99,977995.0,1
4,5.0,2831,4215.0,2,124,1,0,0,1,2.38,928873.0,1
5,5.0,4177,2454.0,2,37,0,0,0,0,12.21,1020017.0,1
5,5.0,3986,2252.0,2,23,1,1,0,1,8.01,1076057.0,1
3,4.0,2757,1745.0,1,26,1,0,0,1,1.51,737785.0,0
4,4.0,3217,2465.0,2,54,1,0,0,1,8.27,969031.0,1
4,4.0,2395,2402.0,2,79,1,1,1,0,16.27,712426.0,0
3,3.0,2961,3002.0,1,19,0,1,0,0,12.83,624934.0,0
4,4.0,2741,2229.0,2,68,0,1,0,1,4.44,871586.0,1
5,5.0,3476,4442.0,2,81,1,0,0,0,21.78,933779.0,1
4,4.0,2527,1675.0,1,102,1,0,0,1,0.5,743499.0,0
5,5.0,4391,1903.0,1,22,1,1,0,1,1.32,1198719.0,1
4,4.0,2962,4946.0,2,109,0,0,0,1,13.38,837293.0,1
4,4.0,3833,1995.0,2,46,1,1,0,0,13.95,1009938.0,1
3,3.0,2859,4394.0,1,125,1,0,0,1,2.12,995172.0,1
5,5.0,3889,3529.0,2,66,1,0,0,1,2.95,1027160.0,1
3,3.0,2877,1900.0,2,54,0,1,0,1,3.9,801906.0,1
2,2.5,1999,2030.0,3,12,1,0,0,0,17.01,497238.0,0
3,3.0,1830,5660.0,1,43,0,0,0,0,14.46,568762.0,0
2,2.0,1660,7576.0,1,46,1,0,0,1,8.64,639837.0,0
4,4.0,2520,2442.0,1,41,1,1,0,0,24.0,680238.0,0
4,4.5,3449,9770.0,1,11,1,1,0,0,19.35,917555.0,1
5,5.0,3580,3304.0,1,37,0,1,0,0,16.27,887489.0,1
5,5.0,3156,5505.0,1,58,1,0,0,1,1.38,1027746.0,1
3,3.5,2351,6165.0,2,78,1,0,0,1,2.78,826618.0,1
4,5.0,3352,2626.0,1,3,0,0,1,1,3.34,1003976.0,1
1,1.5,600,1737.0,1,71,1,1,0,1,6.0,338729.0,0
5,5.0,3501,5976.0,1,93,1,1,0,1,10.98,1004368.0,1
3,3.0,1960,1813.0,2,123,0,0,0,0,12.87,522499.0,0
4,4.0,2738,4033.0,2,72,1,1,0,1,2.05,837267.0,1
3,3.5,2088,3232.0,1,86,1,0,0,0,13.7,617359.0,0
3,3.5,2640,2576.0,2,17,0,1,0,1,10.68,711389.0,0
5,5.0,4370,5172.0,2,16,1,1,0,0,9.87,1068190.0,1
4,4.0,2855,4051.0,2,39,0,1,0,1,3.49,900760.0,1
4,5.0,3139,3427.0,1,19,1,1,0,1,3.36,939038.0,1
3,3.5,2839,3449.0,2,14,1,0,0,1,2.52,929207.0,1
2,2.0,1207,4413.0,1,7,0,1,1,1,11.69,459254.0,0
4,4.5,3387,3599.0,1,77,1,1,0,1,5.82,916718.0,1
3,3.5,2482,2693.0,1,61,1,0,0,0,15.36,628165.0,0
4,4.5,2812,3203.0,1,96,0,0,0,1,3.03,852169.0,1
5,5.0,4450,3268.0,1,46,1,0,0,0,22.08,1074281.0,1
3,3.5,2404,2740.0,1,34,1,1,0,1,1.48,819145.0,1
3,3.0,1998,2968.0,2,44,1,0,0,1,9.28,613034.0,0
3,3.5,1760,1560.0,3,27,1,1,0,1,8.62,635485.0,0
5,5.0,3187,6235.0,2,17,0,1,0,0,18.25,863810.0,1
3,3.0,2449,6965.0,1,55,1,1,0,1,8.55,775656.0,0
1,1.0,600,2403.0,2,70,1,1,0,1,11.99,325393.0,0
2,2.5,789,6134.0,2,67,1,0,0,0,13.02,258624.0,0
3,4.0,1849,2653.0,1,123,0,0,0,0,15.8,601170.0,0
4,5.0,3211,2256.0,2,73,1,1,0,0,20.13,660394.0,0
4,4.0,2804,5319.0,1,94,1,1,0,1,2.36,907854.0,1
2,3.0,983,9735.0,1,47,1,0,0,0,18.74,400281.0,0
4,4.0,2319,4055.0,1,12,0,0,0,1,14.28,689589.0,0
4,4.5,3705,2649.0,1,15,1,0,0,0,9.98,898702.0,1
6,5.0,3889,2490.0,2,10,1,0,1,1,2.53,1227221.0,1
4,4.5,3439,1541.0,1,28,1,0,1,0,18.09,883135.0,1
3,3.5,2151,5723.0,2,21,0,1,0,1,9.64,677349.0,0
4,4.0,2182,4068.0,2,73,1,1,0,1,9.82,706120.0,0
4,4.0,2990,4706.0,1,101,1,0,1,0,0.5,934656.0,1
2,2.0,1698,2175.0,1,33,1,0,0,1,2.68,638135.0,0
3,3.0,2309,2903.0,1,36,0,0,0,1,3.86,779397.0,0
4,4.0,3037,4135.0,1,2,1,1,1,0,20.13,737132.0,0
3,3.5,3150,2779.0,2,40,1,1,0,0,17.96,754534.0,0
2,3.0,2068,2641.0,2,38,1,0,1,0,17.1,437371.0,0
4,4.5,3145,3394.0,1,24,1,1,0,0,17.22,799145.0,1
5,5.0,3901,3623.0,1,86,0,0,0,1,5.07,1056698.0,1
